UserID,SessionDuration(min),PagesVisited,Clicks,Scrolls,Likes,ExitPage,Conversion,NetworkSpeed(Mbps),Age,Gender,Device,OS,Source,IsNewUser,ClicksPerPage,ScrollsPerMinute,ClickRate,EngagementScore,IsLongSession,IsHighSpeed,ClickLevel,DeepPageView
1,6.954266701000362,3,9,18,0,Home,False,14.228399790086383,56,Male,Xiaomi Note 11,Android,Organic,0,3.0,2.588339040464284,1.294169520232142,9.0,True,False,Medium,False
1,4.114332527741221,4,13,4,1,Profile,False,25.191227557298827,56,Male,Xiaomi Note 11,Android,Organic,0,3.25,0.9722111601407216,3.1596862704573456,6.7,False,True,High,False
1,7.203688606094551,1,15,42,0,Home,False,14.52888299699291,56,Male,Xiaomi Note 11,Android,Organic,0,15.0,5.8303464095417254,2.0822665748363303,18.6,True,False,High,False
2,8.09803829036196,5,18,30,0,Search,False,21.41042565966889,46,Male,Samsung S23,Android,Organic,1,3.6,3.704600907568577,2.222760544541146,16.2,True,True,Very High,False
2,4.6024496272582,2,18,0,0,Home,False,19.55788417272225,46,Male,Samsung S23,Android,Organic,1,9.0,0.0,3.9109607834476336,7.2,False,False,Very High,False
2,6.012974074319175,1,17,42,0,Checkout,False,20.66896988941128,46,Male,Samsung S23,Android,Organic,1,17.0,6.984896239512806,2.827219906469469,19.4,True,True,Very High,False
2,2.939022909500458,4,17,5,0,Profile,False,34.94887932595872,46,Male,Samsung S23,Android,Organic,1,4.25,1.7012456704020193,5.784235279366865,8.3,False,True,Very High,False
2,5.335957092461101,3,1,38,0,Checkout,False,13.346070693811544,46,Male,Samsung S23,Android,Organic,1,0.3333333333333333,7.121496545331717,0.18740780382451885,11.8,True,False,Low,False
3,5.724165409707587,1,18,11,0,Checkout,False,21.323929043490885,32,Female,Samsung S21,Android,Organic,1,18.0,1.9216775219921403,3.14456321780532,10.5,True,True,Very High,False
3,6.109396033720982,4,19,4,0,Checkout,False,11.29636209387317,32,Female,Samsung S21,Android,Organic,1,4.75,0.6547292036597215,3.1099637173836774,8.8,True,False,Very High,False
3,0.2499317354507386,1,11,39,1,Checkout,False,28.714163100329404,32,Female,Samsung S21,Android,Organic,1,11.0,156.04260871339758,44.01201784224034,16.400000000000002,False,True,High,False
3,3.741482033250525,3,19,15,0,Profile,False,16.788320093891063,32,Female,Samsung S21,Android,Organic,1,6.333333333333333,4.009106516266844,5.0782015872713355,12.100000000000001,False,False,Very High,False
4,4.79444496409882,7,16,31,1,Shop,False,6.113041307036282,25,Male,Samsung S21,Android,Organic,0,2.2857142857142856,6.46581621691988,3.337195466797357,16.0,False,False,Very High,True
4,4.779944972214216,6,8,16,0,Profile,False,28.46351481360372,25,Male,Samsung S21,Android,Organic,0,1.3333333333333333,3.3473188693610236,1.6736594346805118,8.0,False,True,Medium,True
4,10.387908285516223,2,1,21,1,Home,False,24.792141268465134,25,Male,Samsung S21,Android,Organic,0,0.5,2.0215811906310464,0.09626577098243079,7.0,True,True,Low,False
4,7.386437471034069,7,14,36,1,Home,False,12.96302255873814,25,Male,Samsung S21,Android,Organic,0,2.0,4.873797434984603,1.8953656691606788,16.7,True,False,High,True
